,latitude,longitude,car_park_no,cluster
0,1.3010632720874966,103.85411804993062,ACB,11
1,1.3210042901059609,103.88506094761496,ACM,15
2,1.328283495109407,103.84461988914568,AH1,8
3,1.36909121614356,103.83498485034055,AK19,16
4,1.3661204243173295,103.84663563161574,AK31,16
5,1.3724386334422467,103.85029569742481,AK52,16
6,1.3748359294533556,103.8448538415614,AK6,16
7,1.3766782086821643,103.86384511310682,AK83,18
8,1.3835990576551445,103.8483680866534,AK9,16
9,1.3687410945550118,103.84030110265202,AM14,16
10,1.3703498012136124,103.83571828515677,AM16,16
11,1.3655400127862634,103.84461939021914,AM18,16
12,1.3688861979339544,103.83453102382205,AM19,16
13,1.3646977329371188,103.84608858611757,AM20,16
14,1.3645882914751264,103.84765302635225,AM22,16
15,1.3705325244610713,103.8343768155432,AM32,16
16,1.3686107186719942,103.85730354666741,AM43,16
17,1.3721783233234015,103.85339638441604,AM46,16
18,1.369915001718853,103.84669851649676,AM51,16
19,1.3714570202946914,103.85309824605719,AM64,16
20,1.3723282292064236,103.85132794564834,AM79,16
21,1.3706469901715583,103.84186149048261,AM80,16
22,1.3716392420558656,103.84194781252401,AM81,16
23,1.3640741492788215,103.85094037122862,AM96,16
24,1.3038767185244577,103.78263177920336,AR1L,14
25,1.3028486840208244,103.7836667743232,AR1M,14
26,1.3059132344622109,103.78115465517361,AR2L,14
27,1.3047388928304149,103.78167448932463,AR2M,14
28,1.307343526593196,103.78446333008414,AR5M,14
29,1.305807720561871,103.7855911365702,AR7L,14
30,1.3047713772680545,103.78519200383877,AR7M,14
31,1.3072843627095663,103.78343964059528,AR9,14
32,1.2855825549923126,103.80321526415888,AV1,3
33,1.284911285621432,103.80583744238771,AV2,3
34,1.3667143987756958,103.84171281191207,A1,16
35,1.3686329816140796,103.8445240151766,A10,16
36,1.3779874731949442,103.842602544842,A100,16
37,1.3670355338571134,103.8381810968511,A11,16
38,1.3685098274818968,103.83867531323658,A12,16
39,1.3680002216512899,103.83680961188561,A13,16
40,1.3669676105068467,103.84041745596973,A15,16
41,1.3662370557741221,103.84304639719952,A2,16
42,1.3649433806415425,103.84845709182149,A20,16
43,1.3681275586189163,103.8463132241709,A21,16
44,1.3673354664536144,103.8489133401168,A23,16
45,1.3647534118811007,103.84939765277373,A24,16
46,1.3627693074285172,103.85162748927652,A25,16
47,1.3727702022189985,103.83544756414679,A26,16
48,1.3703630515467693,103.8383206515405,A27,16
49,1.3716499282813763,103.83746428814854,A28,16
50,1.3672262594201823,103.84871559664501,A29,16
51,1.3709897466881407,103.84241897219825,A30,16
52,1.3702181345377318,103.84275860557467,A30A,16
53,1.3704511192782494,103.84369994453257,A31,16
54,1.3718593403230517,103.84365816613547,A31A,16
55,1.3700210113414353,103.83469194577,A33,16
56,1.368356473219034,103.85166737410135,A34,16
57,1.3686463926053345,103.85408147411323,A35,16
58,1.3664071280973518,103.85527878732958,A36,16
59,1.3681130684869154,103.85555655070138,A37,16
60,1.3639637058040284,103.85458838271062,A38,16
61,1.361151021658679,103.85407215463408,A39,16
62,1.365691620587143,103.84119216501767,A4,16
63,1.3623561505378592,103.8569820859847,A40,16
64,1.364936935305799,103.85693260004962,A41,16
65,1.3665801816289644,103.85736389239304,A42,16
66,1.3659967355493308,103.85926727197639,A43,18
67,1.367205743273234,103.8589905085286,A44,16
68,1.370917693067466,103.85523049600965,A45,16
69,1.3705581670513376,103.85924660891077,A47,16
70,1.370371281457812,103.85465226092984,A48,16
71,1.3713296059549298,103.85779708766381,A49,16
72,1.3725224642422473,103.85760956795286,A50,16
73,1.3694707392934409,103.83437534502293,A51,16
74,1.3703854326512568,103.84692254711774,A52,16
75,1.369280633982194,103.84613433583942,A52L,16
76,1.3708650227001158,103.84687730858236,A53,16
77,1.3724343595097768,103.8459153545853,A54,16
78,1.3736385362921242,103.84666686250256,A55,16
79,1.3726986757337116,103.84714621818317,A56,16
80,1.3720196104757487,103.84696416467047,A57,16
81,1.3723470075573316,103.84772411430865,A58,16
82,1.3738962214127315,103.85813978410101,A59,16
83,1.3744644954379837,103.85591341875042,A60,16
84,1.3741704461236193,103.8521600154717,A61,16
85,1.3752171305295215,103.84939908200639,A63,16
86,1.370534868701229,103.85346179745191,A64,16
87,1.371029158960116,103.85941720762452,A65,16
88,1.380544930908412,103.83566062297803,A66,16
89,1.3796863244461355,103.8378048893886,A67,16
90,1.3818976185660183,103.83985421482706,A68,16
91,1.3816414579421723,103.84194543574868,A69,16
92,1.3683924870216928,103.84130175438848,A7,16
93,1.38062064114195,103.84010720676336,A70,16
94,1.3800090936953149,103.84074189671752,A71,16
95,1.3807609626573387,103.84353033817357,A72,16
96,1.378848189137787,103.84082469669583,A73,16
97,1.378651680283736,103.84380466372642,A74,16
98,1.3762021780623381,103.83868455774677,A75,16
99,1.377977111891701,103.8388348049752,A76,16
100,1.376353149352738,103.83997857029854,A77,16
101,1.3746947111453929,103.83838679093324,A78,16
102,1.3687560709932358,103.84330771146671,A8,16
103,1.3743555525255606,103.83647879468057,A81,16
104,1.37567492239482,103.83639865272241,A82,16
105,1.3743075596364955,103.8606965409108,A83,18
106,1.3651073779477731,103.84970936855954,A85,16
107,1.3618848908307515,103.85652048735007,A86,16
108,1.36682635874641,103.8578842373726,A87,16
109,1.3662807156719192,103.84726652678953,A88,16
110,1.3704591830451702,103.83936784590809,A89,16
111,1.368074369978137,103.84439219780549,A9,16
112,1.382000689215116,103.84124722457109,A90,16
113,1.3718598268833164,103.83831596140111,A94,16
114,1.367518628007778,103.84780380928048,A95,16
115,1.3691643105963722,103.83185420964756,A98,16
116,1.3769852572551458,103.8372138919684,A99,16
117,1.333652679935497,103.8707983942747,BA1,8
118,1.3369045733012843,103.87325519193966,BA2,15
119,1.336271592542055,103.87132184474288,BA3,8
120,1.3352592556272487,103.87294849581703,BA4,15
121,1.3343396542004196,103.8726349098329,BA5,15
122,1.2965800277256154,103.85366320640033,BBB,11
123,1.3464366536863857,103.74538227425023,BBM1,19
124,1.3508670707092796,103.74988224837854,BBM2,19
125,1.3445062832256525,103.75991777083932,BBM3,19
126,1.3455506982843115,103.76017896379149,BBM4,19
127,1.3432428850770304,103.75793361152391,BBM5,19
128,1.3428596521147609,103.75505234517985,BBM6,19
129,1.3473553282589283,103.74369552195999,BBM7,19
130,1.349969284844801,103.74851052070362,BBM8,19
131,1.3658306352822938,103.75177182867142,BBM9,19
132,1.3477410368330722,103.8532954079852,BE10,8
133,1.3497794554538258,103.85304135503775,BE11,8
134,1.3500135843193608,103.85096301847568,BE12,8
135,1.3448855409177118,103.85152763920874,BE13,8
136,1.34705912300086,103.85543169019624,BE14,8
137,1.345162758491224,103.85483824803825,BE15,8
138,1.3642994770604646,103.83506094142581,BE16,16
139,1.3630077482977778,103.84767846445094,BE17,16
140,1.3583510906519656,103.83108616866849,BE18,16
141,1.3488553698228036,103.84820175969944,BE19,8
142,1.34889150352476,103.84866481348304,BE20,8
143,1.3486246747246529,103.84904051876208,BE21,8
144,1.349436593646741,103.84965495311533,BE22,8
145,1.3500959071206409,103.8497629135689,BE23,8
146,1.3553323098292838,103.84748284110552,BE24,16
147,1.3551543675245774,103.84830892492698,BE25,16
148,1.35589523545262,103.84845669941872,BE26,16
149,1.3566562135466202,103.84863114624696,BE27,16
150,1.35792578374441,103.84805039220309,BE28,16
151,1.3574527003474106,103.84590085114523,BE29,16
152,1.36236382033242,103.83440656538825,BE3,16
153,1.3631857448141926,103.83547581122498,BE3R,16
154,1.3574639721486685,103.84644532993362,BE30,16
155,1.3588668638092543,103.84609524349491,BE31,16
156,1.3591710155830503,103.84667247515071,BE32,16
157,1.3601707004676906,103.84482006190818,BE33,16
158,1.3609610362378035,103.8436216081292,BE34,16
159,1.3614206825630568,103.84308446006825,BE35,16
160,1.3574951697204816,103.84453538273506,BE36,16
161,1.3580079412271258,103.84442083770382,BE37,16
162,1.3588986300125845,103.84456648767798,BE38,16
163,1.359196401814309,103.84197133762791,BE39,16
164,1.3464955373934115,103.84837778261435,BE4,8
165,1.357311177642308,103.84264015136279,BE40,16
166,1.3555617806229023,103.84454814694604,BE42,16
167,1.3578308220309556,103.8316301438792,BE44,16
168,1.3563083436627226,103.843673799586,BE45,16
169,1.346177376327494,103.85096106346887,BE5,8
170,1.3447482141025904,103.85188334257242,BE6,8
171,1.3450046991490203,103.85302289077154,BE7,8
172,1.3444363922391018,103.85531480784495,BE8,8
173,1.3471702615089867,103.85618277394822,BE9,8
174,1.3249913646328706,103.84245992582508,BH1,8
175,1.3260459729073217,103.84276130300171,BH2,8
