Image_Number,Master_Run_Number,PC_Time,GPS_Time,UTC_Time,Pressure(hPa),North(mm),East(mm),Down(mm),Distance(mm),H_RTK_Accuracy(mm),V_RTK_Accuracy(mm),N_SATS_RTK,Flags,Latitude(deg),Longitude(deg),Height(m),H_Accuracy(mm),V_Accuracy(mm),N_Sats
16,9,2021-08-06 16:24:29.194960,2021-08-06 08:24:46.400000,2021-8-6 8:24:28.399999891,1300,3105,-10942,-54,11374.150737527616,91,199,15,4,1.2847313741463589,103.81158766109266,40.362845574681344,1952,3951,15
16,9,2021-08-06 16:24:29.232611,2021-08-06 08:24:46.500000,2021-8-6 8:24:28.499999891,1300,3105,-10941,-53,11373.1840308684,87,192,15,4,1.284731336473157,103.81158766922243,40.361233118715404,1938,3926,15
16,9,2021-08-06 16:24:29.336677,2021-08-06 08:24:46.600000,2021-8-6 8:24:28.599999894,1300,3105,-10941,-55,11373.193526885929,86,191,15,4,1.2847313227219217,103.81158767107668,40.36159469505045,1927,3905,15
16,9,2021-08-06 16:24:29.424783,2021-08-06 08:24:46.700000,2021-8-6 8:24:28.699999894,1300,3105,-10940,-55,11372.231531234316,86,190,15,4,1.2847313171884795,103.81158767577361,40.357315132766814,1954,3963,15
16,9,2021-08-06 16:24:29.528701,2021-08-06 08:24:46.800000,2021-8-6 8:24:28.799999893,1300,3106,-10940,-55,11372.50460540685,86,193,15,4,1.2847312987974673,103.81158767019456,40.357994660922024,1939,3933,15
16,9,2021-08-06 16:24:29.655551,2021-08-06 08:24:46.900000,2021-8-6 8:24:28.899999892,1300,3105,-10942,-52,11374.14141814669,88,197,15,4,1.2847312849230397,103.8115876696188,40.35568193981793,1969,3997,15
16,9,2021-08-06 16:24:29.880025,2021-08-06 08:24:47.000000,2021-8-6 8:24:28.999999892,1300,3104,-10941,-53,11372.91106093774,87,194,15,4,1.2847312596601361,103.81158769095707,40.35661893837892,1947,3953,15
16,9,2021-08-06 16:24:29.884014,2021-08-06 08:24:47.100000,2021-8-6 8:24:29.099999891,1300,3106,-10942,-54,11374.42376562435,87,195,15,4,1.2847312553401011,103.81158769729271,40.35861877523677,1941,3943,15
16,9,2021-08-06 16:24:29.921913,2021-08-06 08:24:47.200000,2021-8-6 8:24:29.199999891,1300,3109,-10943,-55,11376.210045529222,88,197,15,4,1.2847312522669774,103.8115877110817,40.36245486775002,1970,4004,15
17,10,2021-08-06 16:24:30.037084,2021-08-06 08:24:47.300000,2021-8-6 8:24:29.299999890,1300,3113,-10946,-52,11380.175262270788,83,182,15,4,1.2847312819486199,103.81158769575968,40.36268706503931,1960,3986,15
17,10,2021-08-06 16:24:30.138637,2021-08-06 08:24:47.400000,2021-8-6 8:24:29.399999893,1300,3107,-10941,-55,11373.739710403082,88,194,15,4,1.2847312566929343,103.81158777995248,40.35851304291655,1983,4034,15
17,10,2021-08-06 16:24:30.224406,2021-08-06 08:24:47.500000,2021-8-6 8:24:29.499999893,1300,3101,-10933,-87,11364.605536489156,107,236,15,4,1.2847312599305514,103.8115878654008,40.37088016431835,1966,4000,15
17,10,2021-08-06 16:24:30.304009,2021-08-06 08:24:47.600000,2021-8-6 8:24:29.599999892,1300,3098,-10929,-80,11359.887543457462,96,210,15,4,1.2847312240022783,103.81158796776326,40.36962766543819,1926,3922,15
17,10,2021-08-06 16:24:30.394097,2021-08-06 08:24:47.700000,2021-8-6 8:24:29.699999892,1300,3103,-10925,-58,11357.270710870636,104,229,15,4,1.284731225595178,103.81158816188463,40.366320802448726,1960,3980,15
