,Latitude(deg),Longitude(deg),Values
0,1.2847,103.8117,0.0
1,1.2848,103.8117,0.0
2,1.2849,103.8117,0.0
3,1.285,103.8117,0.0
4,1.2851,103.8117,0.0
5,1.2852,103.8117,0.0
6,1.2853,103.8117,0.0
7,1.2854,103.8117,0.0
8,1.2855,103.8117,0.0
9,1.2856,103.8117,0.0
10,1.2847,103.8118,0.0
11,1.2848,103.8118,0.00043687517043565944
12,1.2849,103.8118,0.006454683390823955
13,1.285,103.8118,0.022769632792330876
14,1.2851,103.8118,0.02276963279233087
15,1.2852,103.8118,4.1710613429033256e-34
16,1.2853,103.8118,0.02683501782680861
17,1.2854,103.8118,0.0004368751704356683
18,1.2855,103.8118,0.026835017826808603
19,1.2856,103.8118,0.013032614553964112
20,1.2847,103.8119,-0.0
21,1.2848,103.8119,-0.0020333405245181505
22,1.2849,103.8119,-0.030041920895638282
23,1.285,103.8119,-0.1059763067763136
24,1.2851,103.8119,-0.10597630677631358
25,1.2852,103.8119,-1.941329842645633e-33
26,1.2853,103.8119,-0.12489775779430093
27,1.2854,103.8119,-0.0020333405245181917
28,1.2855,103.8119,-0.1248977577943009
29,1.2856,103.8119,-0.060657471759208166
30,1.2847,103.812,-0.0
31,1.2848,103.812,-0.002668759438430072
32,1.2849,103.812,-0.03943002117552524
33,1.285,103.812,-0.13909390264391158
34,1.2851,103.812,-0.13909390264391155
35,1.2852,103.812,-2.547995418472393e-33
36,1.2853,103.812,-0.16392830710501996
37,1.2854,103.812,-0.002668759438430126
38,1.2855,103.812,-0.1639283071050199
39,1.2856,103.812,-0.0796129316839607
40,1.2847,103.8121,0.0
41,1.2848,103.8121,0.0011650004544950909
42,1.2849,103.8121,0.017212489042197198
43,1.285,103.8121,0.06071902077954895
44,1.2851,103.8121,0.06071902077954893
45,1.2852,103.8121,1.1122830247742193e-33
46,1.2853,103.8121,0.07156004753815623
47,1.2854,103.8121,0.0011650004544951145
48,1.2855,103.8121,0.07156004753815622
49,1.2856,103.8121,0.03475363881057093
50,1.2847,103.8122,0.0
51,1.2848,103.8122,0.003927104858921111
52,1.2849,103.8122,0.05802165062762543
53,1.285,103.8122,0.20467799871858625
54,1.2851,103.8122,0.2046779987185862
55,1.2852,103.8122,3.749399456654644e-33
56,1.2853,103.8122,0.24122206073603145
57,1.2854,103.8122,0.003927104858921191
58,1.2855,103.8122,0.2412220607360314
59,1.2856,103.8122,0.117151185058836
60,1.2847,103.8123,0.0
61,1.2848,103.8123,0.0011650004544950926
62,1.2849,103.8123,0.017212489042197226
63,1.285,103.8123,0.06071902077954904
64,1.2851,103.8123,0.06071902077954903
65,1.2852,103.8123,1.1122830247742208e-33
66,1.2853,103.8123,0.07156004753815634
67,1.2854,103.8123,0.0011650004544951163
68,1.2855,103.8123,0.07156004753815633
69,1.2856,103.8123,0.03475363881057099
70,1.2847,103.8124,-0.0
71,1.2848,103.8124,-0.0026687594384300715
72,1.2849,103.8124,-0.039430021175525236
73,1.285,103.8124,-0.13909390264391155
74,1.2851,103.8124,-0.13909390264391153
75,1.2852,103.8124,-2.5479954184723926e-33
76,1.2853,103.8124,-0.16392830710501993
77,1.2854,103.8124,-0.0026687594384301257
78,1.2855,103.8124,-0.16392830710501988
79,1.2856,103.8124,-0.07961293168396069
80,1.2847,103.8125,-0.0
81,1.2848,103.8125,-0.0020333405245181505
82,1.2849,103.8125,-0.030041920895638282
83,1.285,103.8125,-0.1059763067763136
84,1.2851,103.8125,-0.10597630677631358
85,1.2852,103.8125,-1.941329842645633e-33
86,1.2853,103.8125,-0.12489775779430093
87,1.2854,103.8125,-0.0020333405245181917
88,1.2855,103.8125,-0.1248977577943009
89,1.2856,103.8125,-0.060657471759208166
90,1.2847,103.8126,0.0
91,1.2848,103.8126,0.0004368751704356587
92,1.2849,103.8126,0.006454683390823944
93,1.285,103.8126,0.022769632792330838
94,1.2851,103.8126,0.02276963279233083
95,1.2852,103.8126,4.171061342903319e-34
96,1.2853,103.8126,0.026835017826808565
97,1.2854,103.8126,0.00043687517043566757
98,1.2855,103.8126,0.02683501782680856
99,1.2856,103.8126,0.01303261455396409
